Create empty: Dimensions=
         2373603 function calls (2373482 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:27(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
      145    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
       13    0.000    0.000    0.003    0.000 sre_compile.py:567(compile)
       13    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
        1    0.000    0.000    0.000    0.000 sets.py:41(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 getopt.py:15(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
      270    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
       13    0.000    0.000    0.001    0.000 sre_parse.py:706(parse)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       84    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {nt.putenv}
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 {pygame.imageext.load_extended}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:152(__init__)
       19    0.000    0.000    0.000    0.000 ntpath.py:174(split)
       72    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 legendre.py:1790(Legendre)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6498(getdoc)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
      270    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       43    0.000    0.000    0.000    0.000 core.py:143(get_object_signature)
    19/13    0.000    0.000    0.001    0.000 sre_parse.py:317(_parse_sub)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:518(_numpy_tester)
      115    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
        1    0.000    0.000    0.000    0.000 core.py:2731(MaskedArray)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
       19    0.000    0.000    0.000    0.000 ntpath.py:96(splitdrive)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
        3    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 wintypes.py:142(WIN32_FIND_DATAA)
       18    0.000    0.000    0.000    0.000 core.py:1021(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        5    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
       12    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       15    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
    90/62    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.002    0.002 random.py:100(seed)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 {dir}
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
        2    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
       17    0.000    0.000    0.003    0.000 re.py:192(compile)
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
      137    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 grid.py:3(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       15    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 _iotools.py:474(StringConverter)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       13    0.000    0.000    0.001    0.000 sre_compile.py:552(_code)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:154(WIN32_FIND_DATAW)
